product_group_id,brand,color,type,category,season,print,sleeve,fit,other_tags,color_shade
331,Alternative Apparel,Blue,Tops,Hoodies,AW14,Plain,Longsleeve,Slim,None,Medium
421,ATELIER PRIVE,Black,Tops,Casual Shirts,SS15,Multi,Longsleeve,Slim,Cut Away,Dark
442,Damat,Navy,Tops,Blazer,SS15,Plain,Longsleeve,Slim,"Patch,Notched,2 button",Dark
454,Lacoste,Pink,Tops,Polos,SS16,Plain,Shortsleeve,Slim,None,Light
450,Japan Rags,Gray,Tops,T-Shirt,AW14,Graphic,Shortsleeve,Regular,Crew neck,Light
446,SuitSupply,Green,Tops,Casual Shirts,AW14,Check / plaid,Longsleeve,Slim,Cut Away,Medium
443,Cordone,Blue,Tops,Casual Shirts,AW16,Plain,Longsleeve,Slim,Cut Away,Medium
419,Alternative Apparel,Gray,Tops,T-Shirt,AW14,Plain,Shortsleeve,Slim,Crew neck,Light
417,SuitSupply,Navy,Accessories,Pocket Square,AW14,Dots,None,None,None,Dark
416,AG Jeans,Olive,Tops,T-Shirt,AW14,Plain,Shortsleeve,Slim,Henley,Dark
411,AG Jeans,Brown,Bottoms,Chinos,AW14,Plain,None,Slim,None,Dark
524,ATELIER PRIVE,Blue,Tops,Formal Shirts,SS15,Stripe,Longsleeve,Slim,Down,Medium
507,Japan Rags,White,Tops,T-Shirt,AW14,Graphic,Shortsleeve,Slim,Crew neck,Light
