product_group_id,brand,color,type,category,season,print,sleeve,fit,other_tags,color_shade
519,Lacoste,Beige,Bottoms,Chinos,SS16,Plain,None,Slim,None,Light
506,Lacoste,White,Tops,T-Shirt,AW14,Graphic,Shortsleeve,Slim,Crew neck,Light
485,BLUE MINT,Navy,Tops,Polos,AW14,Plain,Shortsleeve,Regular,None,Dark
538,LE COQ SPORTIF,Navy,Bottoms,Sweatpants,SS15,Plain,None,Slim,None,Dark
584,one 90 One,Black,Tops,Casual Shirts,AW14,Check / plaid,Longsleeve,Regular,"Cut Away,Patch",Dark
581,Mexx,White,Tops,Formal Shirts,AW14,Plain,Longsleeve,Slim,Down,Light
572,Van Heusen,Blue,Tops,Casual Shirts,AW14,Plain,Longsleeve,Slim,Button Down,Medium
570,one 90 One,Black,Tops,Casual Shirts,AW14,Stripe,Longsleeve,Comfort,"Down,Western",Dark
560,Alternative Apparel,Gray,Tops,T-Shirt,SS15,Plain,Shortsleeve,Slim,Crew neck,Light
533,one 90 One,Gray,Tops,Knitwear,AW14,Plain,Longsleeve,Slim,V neck,Light
525,Damat,Gray,Bottoms,Formal Trousers,AW14,Plain,None,Slim,None,Light
613,Lacoste,Gray,Bottoms,Chinos,SS16,Plain,None,Regular,None,Light
620,Lacoste,Gray,Accessories,Belt,SS15,Plain,None,None,Wide,Light
636,LE COQ SPORTIF,Blue,Shoes,Sneakers,AW14,Plain,None,None,None,Medium
634,Alternative Apparel,Blue,Tops,T-Shirt,SS15,Plain,Shortsleeve,Slim,Crew neck,Medium
610,ATELIER PRIVE,Blue,Tops,Sweaters,AW14,Plain,Longsleeve,Slim,V neck,Medium
608,Mexx,Gray,Tops,Blazer,AW14,Plain,Longsleeve,Slim,"Patch,Notched,2 button",Light
596,Japan Rags,Blue,Bottoms,Jeans,AW14,Plain,None,Slim,Dark,Medium
697,Damat,Navy,Bottoms,Formal Trousers,SS15,Plain,None,Slim,None,Dark
710,Lacoste,Black,Tops,T-Shirt,AW14,Graphic,Shortsleeve,Slim,Crew neck,Dark
691,Alternative Apparel,Blue,Bottoms,Sweatpants,AW14,Plain,None,Carrot,None,Medium
687,Lacoste,White,Tops,T-Shirt,AW14,Plain,Shortsleeve,Regular,Crew neck,Light
684,BLUE MINT,Blue,Tops,T-Shirt,SS14,Plain,Shortsleeve,Regular,V neck,Medium
683,Lacoste,Light blue,Bottoms,Jeans,AW15,Plain,None,Slim,None,Light
682,one 90 One,Navy,Tops,T-Shirt,AW14,Plain,Shortsleeve,Slim,"V neck,Patch",Dark
666,Cordone,Green,Tops,Casual Shirts,AW15,Plain,Longsleeve,Slim,Down,Medium
659,SuitSupply,White,Tops,Formal Shirts,AW14,Plain,Longsleeve,Slim,Down,Light
727,ATELIER PRIVE,Blue,Tops,Formal Shirts,SS15,Plain,Longsleeve,Slim,Down,Medium
771,one 90 One,Blue/Brown,Tops,Casual Shirts,AW14,Check / plaid,Longsleeve,Regular,"Down,Patch",Mixed
