,user_id,user_weight,user_height,user_shirts_fit,user_pants_fit,user_waist_size,user_shirt_size,user_blazer_size,type,brand,category,fit,purchased,reason,size
37636,41438,95.0,186.0,Slim Fit,Regular Fit,35,L,No idea,Bottoms,Scotch & Soda,Chinos,Slim,yes,,36/32
37637,41438,95.0,186.0,Slim Fit,Regular Fit,35,L,No idea,Tops,Scotch & Soda,Knitwear,Regular,yes,,L
37638,41438,95.0,186.0,Slim Fit,Regular Fit,35,L,No idea,Tops,Scott Blue,T-Shirt,Slim,yes,,L
37639,41438,95.0,186.0,Slim Fit,Regular Fit,35,L,No idea,Bottoms,Scotch & Soda,Jeans,None,yes,,36/32
37640,37795,115.0,176.0,Regular Fit,Slim Fit,37,XXL,58,Shoes,John White,Boots,None,yes,,10
37641,6148,95.0,173.0,Regular Fit,Slim Fit,39,XL,58,Bottoms,Scotch & Soda,Chinos,Slim,no,TOO SMALL,38/34
37642,41360,68.0,166.0,Slim Fit,Slim Fit,30,S,No idea,Shoes,Matte,Loafers,None,yes,,40
37643,41360,68.0,166.0,Slim Fit,Slim Fit,30,S,No idea,Tops,Scotch & Soda,Casual Shirts,Regular,yes,,S
37644,15150,72.0,178.0,Slim Fit,Regular Fit,33,M,No idea,Bottoms,Scotch & Soda,Shorts,Slim,yes,,30
37645,9562,65.0,160.0,,,36,L,52,Bottoms,Scotch & Soda,Shorts,Slim,no,TOO BIG,36
37646,40087,86.0,183.0,Slim Fit,Slim Fit,33,M,48,Tops,Scotch & Soda,T-Shirt,Regular,no,TOO BIG,M
37647,41295,83.0,173.0,,,33,L,No idea,Tops,Cavanni,Casual Shirts,Slim,yes,,15.5
37648,41307,85.0,171.0,Regular Fit,Slim Fit,36,L,54,Tops,Scotch & Soda,Casual Shirts,Regular,yes,,L
37649,2354,122.0,185.0,,,,,,Tops,Scotch & Soda,Blazer,Slim,no,TOO SMALL,XXL
37650,1722,75.0,166.0,,,,M,50,Tops,Damat,Formal Shirts,Comfort,no,TOO BIG,S
37651,64,84.0,182.0,Regular Fit,Slim Fit,34,L,50,Bottoms,Diesel,Jeans,Slim,yes,,32
37652,2390,90.0,176.0,,,,M,50,Tops,Strarwish,T-Shirt,Slim,yes,,XL
37653,2363,80.0,178.0,,,32,M,,Bottoms,Diesel,Jeans,Slim,yes,NONE,32
37654,581,73.0,173.0,Slim Fit,Slim Fit,32,M,48,Shoes,Diesel,Sneakers,None,yes,NONE,43
37655,2392,74.0,181.0,,,,M,,Tops,Scotch & Soda,Blazer,Slim,no,TOO BIG,XL
37656,1758,88.0,170.0,Slim Fit,Regular Fit,36,L,52,Bottoms,Hackett,Chinos,Slim,no,TOO SMALL,36
37657,2271,81.0,185.0,,,33,M,,Tops,AG Jeans,Casual Shirts,Slim,yes,NONE,M
37658,2396,80.0,183.0,,,,L,48,Tops,Scotch & Soda,Blazer,Slim,no,TOO BIG,L
37659,41397,59.0,186.0,,,32,S,46,Shoes,Sacoor,Loafers,None,no,TOO SMALL,43
37660,41397,59.0,186.0,,,32,S,46,Tops,Ralph Lauren,Casual Shirts,Slim,no,TOO BIG,S
37661,41397,59.0,186.0,,,32,S,46,Bottoms,Hackett,Shorts,Slim,no,TOO BIG,31
37662,39489,78.0,176.0,Regular Fit,Skinny Fit,30,M,50,Tops,Sacoor,Sweaters,Regular,yes,,M
37663,39489,78.0,176.0,Regular Fit,Skinny Fit,30,M,50,Shoes,John White,Lace up,None,yes,I LIKE IT,9
37664,34690,92.0,186.0,Slim Fit,Slim Fit,34,XL,No idea,Tops,Hackett,Casual Shirts,Slim,yes,,XL
37665,38368,95.0,187.0,Regular Fit,Regular Fit,36,L,54,Tops,Scotch & Soda,Formal Shirts,Regular,yes,,XL
37666,39489,78.0,176.0,Regular Fit,Skinny Fit,30,M,50,Tops,Tommy Hilfiger,Casual Shirts,Regular,yes,,M
37667,39489,78.0,176.0,Regular Fit,Skinny Fit,30,M,50,Tops,Scotch & Soda,Casual Shirts,Regular,yes,,M
37668,39489,78.0,176.0,Regular Fit,Skinny Fit,30,M,50,Bottoms,Cavanni,Jeans,Skinny,yes,,30/32
37669,39489,78.0,176.0,Regular Fit,Skinny Fit,30,M,50,Accessories,Happy Socks,Socks,None,yes,,41-46
